AGGR,CAMPUS|PROGRAM,FORMULA,SOURCE_LINK
56,PU_ALLAMAIQBAL_CAMPUS | BS_ARCHITECTURE,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),
74.32647129,UET_LAHORE_CAMPUS|BS_ARCHITECURE_ENGINEEERING,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),https://admission.uet.edu.pk/Downloads/MeritLists/Default.aspx
76.0125,UET_LAHORE_CAMPUS|BS_ARCHITECTURE,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),https://admission.uet.edu.pk/Downloads/MeritLists/Default.aspx
70.29030303,UET_LAHORE_CAMPUS|BS_AUTOMOTIVE_ENGINEERING,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),https://admission.uet.edu.pk/Downloads/MeritLists/Default.aspx
65.59090909,UET_LAHORE|BACHELOR_OF_BUSINESS_ADMINISTRATION,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),https://admission.uet.edu.pk/Downloads/MeritLists/Default.aspx
81.01597052,UET_LAHORE|BACHELOR_OF_BUSINESS_INFORMATION_TECHNOLOGY,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),https://admission.uet.edu.pk/Downloads/MeritLists/Default.aspx
64.0680303,UET_LAHORE|BIOMEDICAL_ENGINEERING,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),https://admission.uet.edu.pk/Downloads/MeritLists/Default.aspx
72.92090909,UET_LAHORE|CHEMICAL_ENGINEERING,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),https://admission.uet.edu.pk/Downloads/MeritLists/Default.aspx
58.62100737,UET_LAHORE|BS_CHEMISTRY,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),https://admission.uet.edu.pk/Downloads/MeritLists/Default.aspx
50.78048128,UET_LAHORE|BS_CITY_&_REGIONAL_PLANNIG,result = ((matric / matricTotal) * 17) + ((inter / interTotal) * 50) + ((test / 400) * 33),https://admission.uet.edu.pk/Downloads/MeritLists/Default.aspx
